snd 	2.67	A   	   1	   0	5001
snd 	2.67	A   	   1	   0	5051
snd 	2.67	A   	   1	   0	5051
rcv 	2.68	D   	4851	  50	   1
snd/DA	2.68	A   	   1	   0	5051
rcv 	2.68	D   	4901	  50	   1
snd/DA	2.68	A   	   1	   0	5051
rcv 	2.68	D   	4951	  50	   1
snd/DA	2.68	A   	   1	   0	5051
rcv 	2.68	D   	5001	  50	   1
snd/DA	2.68	A   	   1	   0	5051
rcv 	2.68	D   	5051	  50	   1
snd 	2.68	A   	   1	   0	5101
rcv 	2.68	D   	5051	  50	   1
snd/DA	2.68	A   	   1	   0	5101
rcv 	2.69	D   	5101	  50	   1
snd 	2.69	A   	   1	   0	5151
rcv 	2.69	D   	5101	  50	   1
snd/DA	2.69	A   	   1	   0	5151
rcv 	2.70	D   	5151	  50	   1
snd 	2.70	A   	   1	   0	5201
rcv 	2.70	D   	5151	  50	   1
snd/DA	2.70	A   	   1	   0	5201
rcv 	2.70	D   	5151	  50	   1
snd/DA	2.70	A   	   1	   0	5201
rcv 	2.71	D   	5201	  50	   1
snd 	2.71	A   	   1	   0	5251
rcv 	2.72	D   	5251	  50	   1
snd 	2.72	A   	   1	   0	5301
rcv 	2.72	D   	5301	  50	   1
snd 	2.72	A   	   1	   0	5351
rcv 	2.73	D   	5351	  50	   1
snd 	2.73	A   	   1	   0	5401
rcv 	2.73	D   	5401	  50	   1
snd 	2.73	A   	   1	   0	5451
rcv 	2.73	D   	5451	  50	   1
snd 	2.73	A   	   1	   0	5501
rcv 	2.73	D   	5501	  50	   1
snd 	2.73	A   	   1	   0	5551
rcv 	2.73	D   	5551	  50	   1
snd 	2.73	A   	   1	   0	5601
rcv 	2.73	D   	5551	  50	   1
snd/DA	2.73	A   	   1	   0	5601
rcv 	2.74	D   	5601	  50	   1
snd 	2.74	A   	   1	   0	5651
rcv 	2.75	D   	5601	  50	   1
snd/DA	2.75	A   	   1	   0	5651
rcv 	2.75	D   	5651	  50	   1
snd 	2.75	A   	   1	   0	5701
rcv 	2.76	D   	5651	  50	   1
snd/DA	2.76	A   	   1	   0	5701
rcv 	2.76	D   	5751	  50	   1
rcv 	2.76	D   	5801	  50	   1
rcv 	2.76	D   	5901	  50	   1
rcv 	2.76	D   	5951	  50	   1
rcv 	2.76	D   	6001	  50	   1
rcv 	2.76	D   	6051	  50	   1
rcv 	2.77	D   	6101	  50	   1
rcv 	2.78	D   	5701	  50	   1
snd 	2.78	A   	   1	   0	5801
snd 	2.78	A   	   1	   0	5851
snd 	2.79	A   	   1	   0	5851
rcv 	2.79	D   	6151	  50	   1
rcv 	2.80	D   	5851	  50	   1
snd 	2.80	A   	   1	   0	5901
rcv 	2.80	D   	6201	  50	   1
rcv 	2.81	D   	6251	  50	   1
rcv 	2.81	D   	6301	  50	   1
rcv 	2.81	D   	6351	  50	   1
rcv 	2.81	D   	6401	  50	   1
rcv 	2.82	D   	5901	  50	   1
snd 	2.82	A   	   1	   0	6001
snd 	2.82	A   	   1	   0	6051
snd 	2.83	A   	   1	   0	6101
snd 	2.83	A   	   1	   0	6151
snd 	2.83	A   	   1	   0	6201
snd 	2.83	A   	   1	   0	6251
snd 	2.83	A   	   1	   0	6251
rcv 	2.83	D   	5901	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	5951	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	6001	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	6051	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	6101	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	6151	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	6201	  50	   1
snd/DA	2.83	A   	   1	   0	6251
rcv 	2.83	D   	6251	  50	   1
snd 	2.83	A   	   1	   0	6301
rcv 	2.83	D   	6301	  50	   1
snd 	2.83	A   	   1	   0	6401
snd 	2.83	A   	   1	   0	6401
rcv 	2.85	D   	6401	  50	   1
snd 	2.85	A   	   1	   0	6451
rcv 	2.87	D   	6451	  50	   1
rcv 	2.88	D   	6451	  50	   1
snd 	2.88	A   	   1	   0	6501
rcv 	2.88	D   	6451	  50	   1
snd/DA	2.88	A   	   1	   0	6501
rcv 	2.88	D   	6501	  50	   1
snd 	2.88	A   	   1	   0	6551
rcv 	2.88	D   	6451	  50	   1
snd/DA	2.88	A   	   1	   0	6551
rcv 	2.88	D   	6501	  50	   1
snd/DA	2.88	A   	   1	   0	6551
rcv 	2.88	D   	6551	  50	   1
snd 	2.88	A   	   1	   0	6601
rcv 	2.88	D   	6451	  50	   1
snd/DA	2.88	A   	   1	   0	6601
rcv 	2.88	D   	6501	  50	   1
snd/DA	2.88	A   	   1	   0	6601
rcv 	2.88	D   	6551	  50	   1
snd/DA	2.88	A   	   1	   0	6601
rcv 	2.88	D   	6601	  50	   1
snd 	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6451	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6501	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6551	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6601	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6651	  50	   1
rcv 	2.88	D   	6501	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6551	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.88	D   	6601	  50	   1
snd/DA	2.88	A   	   1	   0	6651
rcv 	2.89	D   	6651	  50	   1
snd 	2.89	A   	   1	   0	6701
rcv 	2.89	D   	6701	  50	   1
snd 	2.89	A   	   1	   0	6751
rcv 	2.89	D   	6751	  50	   1
snd 	2.89	A   	   1	   0	6801
rcv 	2.89	D   	6801	  50	   1
snd 	2.89	A   	   1	   0	6851
rcv 	2.90	D   	6851	  50	   1
snd 	2.90	A   	   1	   0	6901
rcv 	2.92	D   	6851	  50	   1
snd/DA	2.92	A   	   1	   0	6901
rcv 	2.95	D   	6851	  50	   1
snd/DA	2.95	A   	   1	   0	6901
rcv 	2.96	D   	6851	  50	   1
snd/DA	2.96	A   	   1	   0	6901
rcv 	2.96	D   	6901	  50	   1
snd 	2.96	A   	   1	   0	6951
rcv 	2.96	D   	6951	  50	   1
snd 	2.96	A   	   1	   0	7001
rcv 	2.96	D   	7001	  50	   1
snd 	2.96	A   	   1	   0	7051
rcv 	2.97	D   	7051	  50	   1
snd 	2.97	A   	   1	   0	7101
rcv 	2.97	D   	7101	  50	   1
snd 	2.97	A   	   1	   0	7151
rcv 	2.97	D   	7151	  50	   1
snd 	2.97	A   	   1	   0	7201
rcv 	2.97	D   	6901	  50	   1
snd/DA	2.97	A   	   1	   0	7201
rcv 	2.97	D   	7201	  50	   1
snd 	2.97	A   	   1	   0	7251
rcv 	2.97	D   	7251	  50	   1
snd 	2.97	A   	   1	   0	7301
rcv 	2.97	D   	7301	  50	   1
snd 	2.97	A   	   1	   0	7351
rcv 	2.97	D   	7301	  50	   1
snd/DA	2.97	A   	   1	   0	7351
rcv 	2.97	D   	7351	  50	   1
snd 	2.97	A   	   1	   0	7401
rcv 	2.97	D   	7351	  50	   1
snd/DA	2.97	A   	   1	   0	7401
rcv 	2.97	D   	7401	  50	   1
snd 	2.97	A   	   1	   0	7451
rcv 	2.97	D   	7451	  50	   1
snd 	2.97	A   	   1	   0	7501
rcv 	3.00	D   	7501	  50	   1
snd 	3.00	A   	   1	   0	7551
rcv 	3.00	D   	7501	  50	   1
snd/DA	3.00	A   	   1	   0	7551
rcv 	3.01	D   	7551	  50	   1
snd 	3.01	A   	   1	   0	7601
rcv 	3.01	D   	7551	  50	   1
snd/DA	3.01	A   	   1	   0	7601
rcv 	3.02	D   	7601	  50	   1
rcv 	3.03	D   	7601	  50	   1
snd 	3.03	A   	   1	   0	7651
rcv 	3.05	D   	7651	  50	   1
rcv 	3.05	D   	7701	  50	   1
rcv 	3.05	D   	7751	  50	   1
rcv 	3.05	D   	7851	  50	   1
rcv 	3.05	D   	7901	  50	   1
rcv 	3.06	D   	8001	  50	   1
rcv 	3.06	D   	8051	  50	   1
rcv 	3.06	D   	8101	  50	   1
rcv 	3.06	D   	8151	  50	   1
rcv 	3.07	D   	7651	  50	   1
snd 	3.07	A   	   1	   0	7751
snd 	3.07	A   	   1	   0	7801
snd 	3.07	A   	   1	   0	7801
rcv 	3.07	D   	7701	  50	   1
snd/DA	3.07	A   	   1	   0	7801
rcv 	3.07	D   	7751	  50	   1
snd/DA	3.07	A   	   1	   0	7801
rcv 	3.07	D   	7801	  50	   1
snd 	3.07	A   	   1	   0	7901
snd 	3.07	A   	   1	   0	7951
snd 	3.07	A   	   1	   0	7951
rcv 	3.07	D   	7851	  50	   1
snd/DA	3.07	A   	   1	   0	7951
rcv 	3.07	D   	7901	  50	   1
snd/DA	3.07	A   	   1	   0	7951
rcv 	3.07	D   	7951	  50	   1
snd 	3.07	A   	   1	   0	8051
snd 	3.07	A   	   1	   0	8101
snd 	3.07	A   	   1	   0	8151
snd 	3.07	A   	   1	   0	8201
snd 	3.07	A   	   1	   0	8201
rcv 	3.08	D   	8001	  50	   1
snd/DA	3.08	A   	   1	   0	8201
rcv 	3.08	D   	8051	  50	   1
snd/DA	3.08	A   	   1	   0	8201
rcv 	3.08	D   	8101	  50	   1
snd/DA	3.08	A   	   1	   0	8201
rcv 	3.08	D   	8151	  50	   1
snd/DA	3.08	A   	   1	   0	8201
rcv 	3.09	D   	7801	  50	   1
snd/DA	3.09	A   	   1	   0	8201
rcv 	3.09	D   	8251	  50	   1
rcv 	3.09	D   	8301	  50	   1
rcv 	3.09	D   	7801	  50	   1
snd/DA	3.09	A   	   1	   0	8201
rcv 	3.10	D   	7851	  50	   1
snd/DA	3.10	A   	   1	   0	8201
rcv 	3.10	D   	7901	  50	   1
snd/DA	3.10	A   	   1	   0	8201
rcv 	3.10	D   	7951	  50	   1
snd/DA	3.10	A   	   1	   0	8201
rcv 	3.11	D   	8001	  50	   1
snd/DA	3.11	A   	   1	   0	8201
rcv 	3.12	D   	8201	  50	   1
snd 	3.12	A   	   1	   0	8301
snd 	3.12	A   	   1	   0	8351
snd 	3.12	A   	   1	   0	8351
rcv 	3.12	D   	8251	  50	   1
snd/DA	3.12	A   	   1	   0	8351
rcv 	3.12	D   	8301	  50	   1
snd/DA	3.12	A   	   1	   0	8351
rcv 	3.12	D   	8351	  50	   1
snd 	3.12	A   	   1	   0	8401
rcv 	3.12	D   	8201	  50	   1
snd/DA	3.12	A   	   1	   0	8401
rcv 	3.12	D   	8401	  50	   1
